sha,date,todo,revisit,fixme
e70505a,2023-07-12T15:24:24+02:00,59,71,4
44234ce,2023-07-13T09:35:03+02:00,59,71,4
1ec14c6,2023-07-13T14:57:02+02:00,59,71,4
7a8dc31,2023-07-14T15:39:32+00:00,59,71,4
6b0eef4,2023-07-18T13:19:23+02:00,59,71,4
cd79481,2023-07-18T14:50:08+02:00,59,71,4
61e4d62,2023-07-19T16:09:02+02:00,59,71,4
5547e5d,2023-07-19T18:03:25+02:00,59,71,4
7bb2c37,2023-07-20T17:25:34+02:00,59,70,4
ca24aa6,2023-07-20T19:20:44+00:00,59,70,4
0b85f44,2023-07-21T08:37:31+00:00,59,70,4
b0437f8,2023-07-21T08:41:34+00:00,59,70,4
34b82bf,2023-07-21T12:37:37+02:00,59,70,4
3c92338,2023-07-24T09:02:59+02:00,59,70,4
2cb3e46,2023-07-24T10:34:41+02:00,59,70,4
ce80a45,2023-07-24T08:59:42+00:00,59,70,4
368aaf8,2023-07-24T11:13:19+02:00,59,70,4
e123799,2023-07-24T09:14:03+00:00,59,70,4
55d1346,2023-07-24T11:21:19+02:00,59,70,4
d226abd,2023-07-24T11:21:47+02:00,59,70,4
b4d3a95,2023-07-24T11:24:18+02:00,59,70,4
7b81ab2,2023-07-24T11:28:12+02:00,59,70,4
374c5c0,2023-07-24T13:59:11+02:00,59,70,4
9ca091d,2023-07-25T13:21:33+02:00,59,70,4
67a317b,2023-07-25T13:26:41+02:00,59,70,4
952ca9a,2023-07-27T12:32:15+02:00,59,70,4
b4d65d9,2023-07-27T10:42:30+00:00,59,70,4
efd5d51,2023-07-28T06:44:09+02:00,61,70,4
0e7f041,2023-07-28T10:14:26+02:00,59,72,4
a94bd32,2023-07-28T11:52:45+02:00,59,72,4
bed95a3,2023-07-28T11:54:43+02:00,59,72,4
3d4ce7c,2023-07-28T12:16:27+02:00,59,71,4
301b4f4,2023-07-28T12:21:05+02:00,59,71,4
91ebaa6,2023-07-28T12:21:18+02:00,59,71,4
7536520,2023-07-28T12:25:48+02:00,59,71,4
afa202b,2023-07-28T14:28:46+02:00,59,73,4
65d49ae,2023-07-28T14:41:50+02:00,59,74,4
55658d3,2023-07-31T23:21:30+02:00,59,73,4
e5a525e,2023-07-31T21:24:43+00:00,59,73,4
2f33099,2023-08-01T16:19:21+02:00,59,73,4
f39b83e,2023-08-01T14:23:57+00:00,59,73,4
0904b96,2023-08-01T14:51:00+00:00,60,73,4
006b1b4,2023-08-03T12:29:27+02:00,60,76,4
d0ca063,2023-08-03T10:47:39+00:00,60,80,4
db5fbbe,2023-08-03T10:59:49+00:00,60,77,4
c2124a3,2023-08-03T23:34:52+02:00,60,73,4
544a272,2023-08-04T09:31:37+02:00,60,73,4
29eff1b,2023-08-04T16:51:58+02:00,60,73,4
e12577e,2023-08-04T15:18:54+00:00,60,73,4
bfe4749,2023-08-05T06:46:11+00:00,60,78,4
d2bd96e,2023-08-07T10:01:05+00:00,60,81,4
073050b,2023-08-08T08:22:17+00:00,60,86,4
039eba4,2023-08-09T00:54:15+02:00,63,86,4
6870b21,2023-08-08T23:19:02+00:00,63,86,4
da00f5a,2023-08-09T11:26:43+02:00,60,85,4
897c12b,2023-08-10T10:06:52+02:00,60,85,4
